Id,Port Number,Service Name,Transport Protocol,Description
28028,21995,,,Unassigned
28029,21996,,,Unassigned
28030,21997,,,Unassigned
28031,21998,,,Unassigned
28032,21999,,,Unassigned
28033,22000,snapenetio,tcp,SNAPenetIO
28034,22000,snapenetio,udp,SNAPenetIO
28035,22001,optocontrol,tcp,OptoControl
28036,22001,optocontrol,udp,OptoControl
28037,22002,optohost002,tcp,Opto Host Port 2
28038,22002,optohost002,udp,Opto Host Port 2
28039,22003,optohost003,tcp,Opto Host Port 3
28040,22003,optohost003,udp,Opto Host Port 3
28041,22004,optohost004,tcp,Opto Host Port 4
28042,22004,optohost004,udp,Opto Host Port 4
28043,22005,optohost004,tcp,Opto Host Port 5
28044,22005,optohost004,udp,Opto Host Port 5
28045,22006,,,Unassigned
28046,22007,,,Unassigned
28047,22008,,,Unassigned
28048,22009,,,Unassigned
28049,22010,,,Unassigned
28050,22011,,,Unassigned
28051,22012,,,Unassigned
28052,22013,,,Unassigned
28053,22014,,,Unassigned
28054,22015,,,Unassigned
28055,22016,,,Unassigned
28056,22017,,,Unassigned
28057,22018,,,Unassigned
28058,22019,,,Unassigned
28059,22020,,,Unassigned
28060,22021,,,Unassigned
28061,22022,,,Unassigned
28062,22023,,,Unassigned
28063,22024,,,Unassigned
28064,22025,,,Unassigned
28065,22026,,,Unassigned
28066,22027,,,Unassigned
28067,22028,,,Unassigned
28068,22029,,,Unassigned
28069,22030,,,Unassigned
28070,22031,,,Unassigned
28071,22032,,,Unassigned
28072,22033,,,Unassigned
28073,22034,,,Unassigned
28074,22035,,,Unassigned
28075,22036,,,Unassigned
28076,22037,,,Unassigned
28077,22038,,,Unassigned
28078,22039,,,Unassigned
28079,22040,,,Unassigned
28080,22041,,,Unassigned
28081,22042,,,Unassigned
28082,22043,,,Unassigned
28083,22044,,,Unassigned
28084,22045,,,Unassigned
28085,22046,,,Unassigned
28086,22047,,,Unassigned
28087,22048,,,Unassigned
28088,22049,,,Unassigned
