Id,Manufacturer Code,Decimal First Serial Number,Decimal Last Serial Number,Manufacturer
347,226,00000000,16777215,"Nokia (Manau, Brazil)"
348,227,00000000,16777215,"ADI, Systems Group"
349,228,00000000,16777215,Philips Consumer Communications
350,229,00000000,16777215,NEC America
351,230,00000000,16777215,Telular
352,231,00000000,16777215,Ericsson
353,232,00000000,16777215,Siemens Business Communications Systems
354,233,00000000,16777215,Samsung Teleommunications America
355,234,00000000,16777215,Niigata Seimitsu (formerly Kodenshi)
356,235,00000000,16777215,Nokia Mobile Phones
357,236,00000000,16777215,Wireless Link
358,237,00000000,16777215,Motorola
359,238,00000000,16777215,Telson Electronics
360,239,00000000,16777215,NEC America
361,240,00000000,16777215,Ericsson
362,241,00000000,16777215,Samsung Telecommunications America
363,242,00000000,16777215,Toshiba America Information Systems
364,243,00000000,16777215,Appeal Telecom
365,244,00000000,16777215,Pantech
366,245,00000000,16777215,Trimble Navigation
367,246,00000000,16777215,WaveCom (formerly Iconn Wireless)
368,247,00000000,16777215,SANYO Electric
369,248,00000000,16777215,Ericsson
370,249,00000000,16777215,SK Teletech
371,250,00000000,03145727,Reserved
372,250,03145728,05767167,LG Electronics
373,250,05767168,07077887,Cal-Comp Electronics & Communications
374,250,07077888,07340031,Seiko Instruments
375,250,07340032,09699327,ZTE
376,250,09699328,12845055,Samsung Telecommunications America
377,250,12845056,13631487,Nokia Mobile Phones
378,250,13631488,16777215,Reserved
379,251,00000000,16777215,Garmin International
380,252,00000000,16777215,Motorola
381,253,00000000,16777215,Nokia Mobile Phones
382,254,00000000,16777215,Kyocera Wireless
383,255,00000000,01048575,Reserved
384,255,01048576,01572863,Nokia Mobile Phones
385,255,01572864,04718591,ZTE
386,255,04718592,05505023,Seiko Instruments
387,255,05505024,09437183,LG Electronics
388,255,09437184,15728639,Not Assigned
389,255,16515072,16777215,Reserved
